Rk,Team,Year,Playoff Wins,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,O_MP,O_FG,O_FGA,O_FG%,O_3P,O_3PA,O_3P%,O_2P,O_2PA,O_2P%,O_FT,O_FTA,O_FT%,O_ORB,O_DRB,O_TRB,O_AST,O_STL,O_BLK,O_TOV,O_PF,O_PTS,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
9,Houston Rockets,2007,3,14,23,15,26,2,3,5,30,30,20,27,28,16,22,1,4,16,17,23,6,7,17,14,3,15,1,12,12,8,4,20,1,8,8,12,1,25,12,5,10,11,25,30,3,5,26,5,5,5,11,4,15,3,21,25,1,15,9,22,26,1,23,1,8,,21
10,Dallas Mavericks,2007,2,27,11,21,5,8,14,4,21,22,11,12,19,2,15,10,8,24,24,12,5,17,9,27,2,3,7,2,1,7,8,21,5,19,20,9,5,3,3,2,8,3,21,15,4,1,30,2,2,3,13,2,2,5,28,18,13,5,6,8,11,4,17,5,22,,4
11,Toronto Raptors,2007,2,27,10,13,11,9,11,9,15,20,10,17,23,5,29,14,27,10,19,25,2,5,11,27,20,21,21,22,22,17,17,11,23,4,4,18,7,28,24,17,1,5,15,19,16,9,22,10,10,10,26,10,10,12,9,23,10,10,3,30,17,22,15,8,5,,13
12,Denver Nuggets,2007,1,22,3,4,7,16,13,28,2,7,7,5,3,19,5,5,3,5,2,8,28,9,3,22,29,30,15,23,27,10,28,29,19,3,6,4,27,14,23,27,28,24,3,4,26,10,21,9,9,9,12,9,8,11,2,6,16,12,22,7,8,15,11,21,2,,17
13,Los Angeles Lakers,2007,1,1,5,7,6,5,4,16,17,25,2,11,9,18,21,12,11,6,10,9,19,20,5,1,22,26,18,20,19,18,24,26,18,25,25,24,21,23,22,20,26,21,19,8,25,12,18,12,12,12,9,12,7,24,8,12,5,4,15,20,13,17,25,18,20,,7
14,Miami Heat,2007,0,14,21,29,10,11,8,27,26,28,5,30,20,30,26,7,15,18,21,7,11,8,28,14,9,16,5,21,23,14,5,6,7,10,10,8,17,16,17,10,7,4,23,18,8,11,20,17,17,17,25,18,24,8,25,16,7,6,16,25,25,8,21,14,9,,5
15,Orlando Magic,2007,0,22,26,30,4,27,28,15,10,18,9,8,7,28,15,19,16,29,22,11,29,21,27,22,1,1,3,9,10,9,1,2,4,26,26,23,11,1,2,6,27,14,17,7,7,16,14,11,11,11,27,11,22,6,26,1,28,13,30,4,5,6,8,13,29,,18
16,Washington Wizards,2007,0,18,6,3,22,7,6,21,13,12,17,2,4,11,6,22,12,23,6,18,3,15,4,18,25,25,27,29,29,29,23,13,26,20,18,29,25,26,27,26,2,15,6,6,28,14,16,15,15,15,23,15,4,28,5,7,8,18,2,13,6,28,13,24,18,,12
1,Boston Celtics,2008,16,22,20,30,4,8,12,5,24,29,5,8,9,8,23,9,12,8,5,18,27,26,11,22,1,3,1,6,19,1,1,2,2,21,22,4,12,2,2,2,13,16,3,8,2,1,30,1,1,1,30,1,10,1,19,6,9,5,29,18,3,1,1,8,23,,12
2,Los Angeles Lakers,2008,14,18,5,6,3,5,6,6,9,21,4,3,5,10,19,1,4,4,6,5,11,15,4,18,22,26,6,18,18,15,21,27,6,13,12,13,26,16,21,14,22,12,10,5,19,3,28,3,3,3,14,2,3,5,6,9,6,4,10,19,8,7,18,15,9,,11
